,V1,date,ccy,weight,ret,close,agg_rate,place,agg_volume,mom1,mom2,vol1,vol2,rsibd,kdbd,Comp_Mom,Comp_Vol,Comp,mom1_cor,mom2_cor,vol1_cor,vol2_cor,agg_volume_cor,rsibd_cor,kdbd_cor,Basket,aret
1,1,1/1/2017,BTC,0.03030303,-0.091321471,998.33,0,1,1,0.588235294,NA,0.235294118,NA,0.142857143,NA,0.588235294,0.235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1/1/2017,DASH,0.03030303,0.110334766,11.23,0,7,0.444444444,0.705882353,NA,0.470588235,NA,1,NA,0.705882353,0.470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1/1/2017,ETC,0.03030303,0.03509132,1.4,0,6,0.611111111,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,1/1/2017,ETH,0.03030303,0.230703641,8.17,0,2,0.888888889,0.823529412,NA,0.588235294,NA,1,NA,0.823529412,0.588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1/1/2017,LTC,0.03030303,-0.122505923,4.51,0,4,0.777777778,0.470588235,NA,0.352941176,NA,1,NA,0.470588235,0.352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,1/1/2017,MAID,0.03030303,0.03509132,1.4,0,9,0.611111111,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,1/1/2017,REP,0.03030303,-0.067301763,0.141841,0,8,0.222222222,0.235294118,NA,0.823529412,NA,0.428571429,NA,0.235294118,0.823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,1/1/2017,XMR,0.03030303,-0.005538565,0.00344,0,5,0.111111111,0.117647059,NA,0.705882353,NA,0.428571429,NA,0.117647059,0.705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,1/1/2017,XRP,0.03030303,-0.021427691,0.006368,0,3,0.333333333,0.352941176,NA,0.117647059,NA,0.428571429,NA,0.352941176,0.117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,1/8/2017,BTC,0.03030303,-0.103265356,911.2,0,1,1,0.222222222,0.555555556,0.555555556,0.555555556,0.5,1,0.388888889,0.555555556,-0.132142063,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,2,-0.103265356
11,11,1/8/2017,DASH,0.03030303,-0.01203384,12.54,0,7,0.444444444,0.888888889,0.666666667,1,1,0.5,1,0.777777778,1,-0.601534518,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,1,-0.01203384
12,12,1/8/2017,ETC,0.03030303,-0.197610249,1.45,0,6,0.611111111,0.722222222,0.833333333,0.722222222,0.833333333,0.5,0.307692308,0.777777778,0.777777778,-0.937283621,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,1,-0.197610249
13,13,1/8/2017,ETH,0.03030303,-0.038637793,10.29,0,2,0.888888889,1,1,0.888888889,0.666666667,1,1,1,0.777777778,-0.50627263,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,2,-0.038637793
14,14,1/8/2017,LTC,0.03030303,-0.015151805,3.99,0,4,0.777777778,0.111111111,0.222222222,0.444444444,0.333333333,0.5,0.307692308,0.166666667,0.388888889,-0.223770896,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,2,-0.015151805
15,15,1/8/2017,MAID,0.03030303,-0.197610249,1.45,0,9,0.611111111,0.722222222,0.833333333,0.722222222,0.833333333,0.5,0.307692308,0.777777778,0.777777778,-0.937283621,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,1,-0.197610249
16,16,1/8/2017,REP,0.03030303,-0.069287012,0.132609,0,8,0.111111111,0.333333333,0.111111111,0.222222222,0.444444444,0.5,1,0.222222222,0.333333333,0.217958359,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,3,-0.069287012
17,17,1/8/2017,XMR,0.03030303,0.069440983,0.003421,0,5,0.222222222,0.555555556,0.333333333,0.333333333,0.222222222,0.5,1,0.444444444,0.277777778,0.232835225,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,3,0.069440983
18,18,1/8/2017,XRP,0.03030303,0.076122855,0.006233,0,3,0.333333333,0.444444444,0.444444444,0.111111111,0.111111111,0.5,1,0.444444444,0.111111111,0.302726241,-0.03883967,-0.481161286,-0.193757563,-0.683825634,-0.376139808,0.020988013,0.620853015,3,0.076122855
19,19,1/15/2017,BTC,0.03030303,0.117939861,821.8,0,1,1,0.333333333,0.111111111,0.555555556,0.555555556,1,0.5,0.222222222,0.555555556,0.510384111,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,2,0.117939861
20,20,1/15/2017,DASH,0.03030303,0.198467081,12.39,0,7,0.666666667,0.777777778,0.888888889,0.444444444,1,1,1,0.833333333,0.722222222,0.581165058,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,3,0.198467081
21,21,1/15/2017,ETC,0.03030303,0.148130192,1.19,0,6,0.388888889,0.166666667,0.277777778,0.722222222,0.833333333,1,0.5,0.222222222,0.777777778,0.568856707,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,3,0.148130192
22,22,1/15/2017,ETH,0.03030303,0.077708984,9.9,0,2,0.888888889,0.555555556,1,0.111111111,0.444444444,1,0.5,0.777777778,0.277777778,0.413032922,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,2,0.077708984
23,23,1/15/2017,LTC,0.03030303,-0.023167059,3.93,0,4,0.777777778,0.666666667,0.444444444,1,0.666666667,1,0.125,0.555555556,0.833333333,0.247773202,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,1,-0.023167059
24,24,1/15/2017,MAID,0.03030303,0.148130192,1.19,0,8,0.388888889,0.166666667,0.277777778,0.722222222,0.833333333,1,0.5,0.222222222,0.777777778,0.568856707,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,3,0.148130192
25,25,1/15/2017,REP,0.03030303,-0.079177636,0.123732,0,9,0.111111111,0.444444444,0.555555556,0.888888889,0.333333333,1,0.5,0.5,0.611111111,0.321284252,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,1,-0.079177636
26,26,1/15/2017,XMR,0.03030303,0.007877265,0.003667,0,5,0.222222222,0.888888889,0.777777778,0.333333333,0.222222222,1,1,0.833333333,0.277777778,0.396101289,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,2,0.007877265
27,27,1/15/2017,XRP,0.03030303,-0.001934668,0.006726,0,3,0.555555556,1,0.666666667,0.222222222,0.111111111,1,1,0.833333333,0.166666667,0.375379813,-0.229520175,-0.110730687,-0.178809644,0.24651344,0.192423692,0.432096512,0.258969027,1,-0.001934668
28,28,1/22/2017,BTC,0.03030303,-0.005606873,924.67,0,1,1,0.666666667,0.555555556,0.705882353,0.470588235,1,1,0.611111111,0.588235294,-1.296817437,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,2,-0.005606873
29,29,1/22/2017,DASH,0.03030303,0.026128201,15.11,0,7,0.666666667,1,1,0.823529412,0.588235294,1,1,1,0.705882353,-1.462155928,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,1,0.026128201
30,30,1/22/2017,ETC,0.03030303,-0.059719235,1.38,0,6,0.5,0.833333333,0.277777778,1,1,1,1,0.555555556,1,-1.45422155,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,1,-0.059719235
31,31,1/22/2017,ETH,0.03030303,-0.020775063,10.7,0,2,0.888888889,0.555555556,0.666666667,0.470588235,0.117647059,1,1,0.611111111,0.294117647,-1.180650579,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,2,-0.020775063
32,32,1/22/2017,LTC,0.03030303,0.002600782,3.84,0,4,0.777777778,0.222222222,0.444444444,0.117647059,0.705882353,0.357142857,0.428571429,0.333333333,0.411764706,-0.391353302,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,3,0.002600782
33,33,1/22/2017,MAID,0.03030303,-0.059719235,1.38,0,8,0.5,0.833333333,0.277777778,1,1,1,1,0.555555556,1,-1.45422155,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,1,-0.059719235
34,34,1/22/2017,REP,0.03030303,0.211265353,0.114313,0,9,0.111111111,0.111111111,0.111111111,0.588235294,0.823529412,0.357142857,0.428571429,0.111111111,0.705882353,-0.513554097,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,3,0.211265353
35,35,1/22/2017,XMR,0.03030303,0.334460319,0.003696,0,5,0.222222222,0.444444444,0.888888889,0.235294118,0.352941176,0.357142857,0.428571429,0.666666667,0.294117647,-0.533492307,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,2,0.334460319
36,36,1/22/2017,XRP,0.03030303,-0.047435503,0.006713,0,3,0.333333333,0.333333333,0.777777778,0.352941176,0.235294118,0.357142857,0.142857143,0.555555556,0.294117647,-0.456709843,-0.437050366,0.034636053,-0.351808653,0.053893541,-0.380341885,-0.522420911,-0.279298014,3,-0.047435503
37,37,1/29/2017,BTC,0.03030303,0.110898172,919.5,0,1,1,0.555555556,0.666666667,0.222222222,0.444444444,0.4375,0.588235294,0.611111111,0.333333333,-0.161817115,-0.090070154,0.274374898,-0.142034106,-0.036019797,-0.182679219,-0.204691139,-0.267869736,3,0.110898172
38,38,1/29/2017,DASH,0.03030303,0.095251565,15.51,0,7,0.666666667,0.777777778,0.888888889,0.777777778,0.555555556,1,0.588235294,0.833333333,0.666666667,-0.318909306,-0.090070154,0.274374898,-0.142034106,-0.036019797,-0.182679219,-0.204691139,-0.267869736,2,0.095251565
