date,BTC,ETH,XRP,USDT,LINK,BCH,LTC,ADA,XLM,DOT,BNB,BSV,USDC,EOS,TRX,WBTC,XMR,XTZ,XEM,CRO,LEO,FIL,NEO,ATOM,DAI,VET,DASH,MIOTA,HT,REV,UNI,ZEC,ETC,AAVE,YFI,WAVES,BUSD,THETA,CEL,MKR,OMG,SNX,ONT,COMP,UMA,DOGE,FTT,KSM,ALGO,BAT
11/27/2020,17108.40173,517.4936877,0.55926763,1.00119989,12.49025874,264.955324,69.12387404,0.14102816,0.20640935,4.78279012,28.47518678,161.8022044,1.00076925,2.87136607,0.02936294,17060.38878,117.3132112,2.25242641,0.17301424,0.06425499,1.34051893,29.92166383,17.09100297,5.35995333,1.00269751,0.01448564,92.19440786,0.31271637,4.06656597,0.01163719,3.31672524,68.63252752,6.20272838,60.73871861,23513.11769,6.45113707,1.0004,0.60717119,2.39328896,515.069711,3.5854592,4.12495328,0.5453096,104.3629636,7.55877237,0.00327521,3.98296809,45.25822907,0.29997815,0.22421776
11/26/2020,17150.62358,518.8011739,0.53301892,1.00203454,12.57536258,270.5107368,70.86572109,0.13828125,0.16754814,4.80457692,28.20491606,165.4684952,1.00023493,2.94096747,0.02938731,17123.87418,119.3511587,2.24616798,0.1588722,0.06370475,1.3298146,29.92854886,17.14878642,5.32897524,1.00443507,0.01454529,91.58153776,0.30353637,4.06693417,0.01166369,3.43149857,69.83680088,6.12515099,63.99345248,23195.58543,6.04099227,1.0002,0.62097146,2.09342434,528.2353141,3.67303512,4.31994615,0.55728017,107.0674459,7.53364483,0.00324982,3.9211315,48.83398288,0.30182287,0.22333283
11/25/2020,18732.12078,570.6866162,0.63548327,1.00005305,14.26096459,312.7775571,81.88012987,0.15516213,0.19520212,5.30985986,31.34296007,191.839427,1.00005264,3.43941737,0.0331058,18690.25032,129.1458787,2.60280778,0.18140159,0.07825506,1.31479951,30.97322679,19.61978671,5.92368189,1.0012392,0.01656448,102.3810114,0.35520555,4.1590497,0.01164856,3.68375432,78.43043111,7.00211533,61.80533895,22369.88395,6.72819657,1,0.69552998,2.27872858,562.9992479,4.40820265,4.81580996,0.69104674,123.1532724,8.23112913,0.00372672,4.16924819,42.38990661,0.34371516,0.25649793
11/24/2020,19107.46445,603.897746,0.69210316,0.99980773,15.62066489,345.605119,89.20537318,0.16632261,0.19547983,5.72944635,33.80315145,208.9147358,0.99983031,3.58598476,0.03506729,19146.8713,135.2003423,2.6647744,0.16277996,0.08111599,1.32180103,30.1626282,20.4166476,5.9503631,1.00106733,0.01613401,114.0335999,0.38303498,4.43051086,0.01162399,4.06707338,86.20911463,7.25927723,66.73867871,24836.28802,7.54944971,0.9999,0.69062809,2.43894638,594.9954071,4.31779602,5.20791686,0.6371996,127.5575782,9.09980991,0.00420366,4.36375228,48.16977846,0.35789218,0.26084676
11/23/2020,18364.12159,608.4540286,0.6139796,1.00009157,15.27084388,323.0258209,89.03931421,0.15350993,0.13059927,5.9069321,30.96536947,196.9010939,0.99981977,3.382453,0.03167253,18358.94406,129.8890066,2.61979796,0.14534145,0.07224472,1.29893722,29.20604891,19.0925205,5.80081328,1.00236259,0.01602985,94.11521965,0.35877809,4.23704294,0.01164285,4.18887791,79.27283037,6.53139044,71.83861244,25162.03576,7.88022735,0.9998,0.66457733,2.56475106,592.8107429,4.20374952,5.41678287,0.60805704,125.7576618,8.4988087,0.00364797,4.23017932,40.45056359,0.33517258,0.24816666
11/22/2020,18370.00252,558.0680952,0.44370043,0.99920264,14.44480124,286.9934084,82.70420982,0.14476017,0.10352625,5.48185289,29.92507133,177.8670595,0.99997751,3.05149739,0.02869945,18398.17224,123.3338738,2.26944835,0.1287229,0.07094396,1.27569374,29.70988387,17.1351557,5.46323492,1.00152137,0.01384641,90.28302646,0.31770056,4.23898816,0.0105055,3.65905312,68.5411792,6.02037573,68.42477869,24254.85242,7.00289204,1,0.64676819,2.43107172,555.5783943,3.87217476,4.97202673,0.55377239,116.2043473,8.16875693,0.0033293,4.06459375,38.3469567,0.29703017,0.21624069
11/21/2020,18642.23277,549.4866209,0.45834416,0.99887395,15.355934,301.9248114,86.41011587,0.13294498,0.10840489,5.75192122,30.3912909,193.6735661,0.9999918,3.21610062,0.03033475,18601.52605,128.0674905,2.37242196,0.13745817,0.07278006,1.26295524,29.90241076,18.23514481,5.89125746,1.00264463,0.01435683,93.88391345,0.3235017,4.32933428,0.01053267,3.81223005,70.78903425,6.56600237,70.42424685,24250.60087,6.18106198,0.9996,0.69833852,2.31208891,536.6684966,4.21985888,5.21485621,0.5817072,127.1461928,8.46102373,0.00350659,4.04835371,40.33025896,0.31529365,0.22741845
11/20/2020,18621.31437,509.7445733,0.32806824,1.00042702,14.07827326,258.8549043,82.583154,0.1182257,0.08830738,5.23343571,28.89199739,165.9991129,1.00003932,2.77554809,0.02626955,18623.1443,120.9448037,2.10479365,0.12340073,0.07698757,1.26697788,29.09977167,16.4667652,5.27023722,1.00308993,0.0120362,83.20710373,0.26529544,4.29509887,0.01077285,3.84091406,63.14374355,6.05111464,75.06539972,26468.0332,6.78848561,0.9997,0.64064566,2.28718207,516.6173379,3.53169563,5.10822026,0.50987296,116.3334291,8.01592308,0.00298434,3.94914436,37.71826363,0.28440176,0.20172914
11/19/2020,17817.09025,471.6304197,0.30376565,1.00078094,13.62188196,246.2700751,81.68366667,0.10586606,0.08390624,4.7567662,28.09410417,161.5948579,1.0001876,2.63621518,0.02580231,17788.11661,118.3854804,2.0789372,0.11408918,0.06673213,1.26574088,28.70003629,16.09714962,5.09063466,1.00146166,0.01150221,82.10029361,0.25336387,4.15189001,0.01047496,3.7330601,62.45602933,5.92077713,75.85718351,27700.49057,5.83549152,0.9998,0.62331481,2.05045665,509.1402353,3.26347479,4.93437683,0.4869145,113.2422501,7.75566838,0.00291104,3.75542936,35.31033789,0.2645612,0.19760892
11/18/2020,17804.00563,479.4840698,0.29422167,1.00039946,13.59299642,247.1260476,73.69493456,0.10640261,0.08361524,4.67966267,28.07616291,162.1527776,1.00012058,2.64180046,0.02682202,17793.18069,123.6419825,2.0863938,0.13144196,0.06582489,1.29775966,28.88255658,15.72463546,5.10066778,0.9996466,0.01180943,80.00108637,0.25642591,3.81430336,0.0105052,3.46366504,63.15470315,6.06184083,75.23227405,25467.62024,5.16868785,0.9998,0.6245289,2.05982749,510.4954772,3.3295577,4.84132305,0.4910487,114.4834218,7.94450341,0.00290902,3.79821551,35.60261653,0.26748201,0.20050759
